intent,score,margin,title,url,alt
δηλωση_διαζυγιου,0.454,0.130,Άνοιγμα μερίδας δημότη – λόγω διαζυγίου (με διαζύγιο που έχει καταχωρηθεί στην ληξιαρχική πράξη γάμου μέχρι το έτος 2017),https://eservices.heraklion.gr/e-services/municipal-roll/anigma-meridas-dimoti-logo-diazigiou.html,Δήλωση Διαζυγίου (άρθρα 1438 Α.Κ. και 1441 Α.Κ. όπως αντικαταστάθηκε με το άρθρο 4 του ν.4800/21.5.2021 και 14 του ν.344/1976)
αδεια_χρησης_κοινοχρηστου_περιφραξης_οδοστρωματος,0.461,0.136,"Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση περίφραξης σε πεζοδρόμια, πεζόδρομους και πλατείες",https://eservices.heraklion.gr/e-services/technical-services/xrisi-koinoxristou-xorou-perifraksi.html,Αίτηση για βλάβη στο οδόστρωμα
καθαρισμος_φρεατιου,0.469,0.009,Καθαρισμός δημοτικών οικοπέδων - Αποψίλωση,https://eservices.heraklion.gr/e-services/cleanness/katharismos-dhmotikon-oikopedon-apopsilosi.html,Αίτημα για οδοκαθαρισμό
καταγγελια_λαικων_αγορων_εμποριου,0.474,0.087,Καταγγελία (Λαϊκές αγορές-Πλανόδιο-Υπαίθριο εμπόριο,https://eservices.heraklion.gr/e-services/municipal-police/kataggelia-laikes.html,Καταγγελία δολιοφθορών
παιδικες_χαρες,0.481,0.348,"Συντήρηση Υπαίθριων Χώρων (παιδικές χαρές,πάρκα)",https://eservices.heraklion.gr/e-services/technical-services/aitimata-syntirisi-ipethrion-xoron.html,Λαϊκές Αγορές: Ημέρες και οδοί λειτουργίας στον Δήμο Ηρακλείου
ετησια_αδεια_κοινοχρηστου_χωρου,0.487,0.039,Αίτημα για καθαριότητα κοινόχρηστου χώρου,https://eservices.heraklion.gr/e-services/cleanness/aitima-kathariotita-koinoxristou-xwrou.html,Έκδοση αδειών κοινόχρηστων χώρων - Ετήσιες
εκτος_σχεδιου,0.490,0.240,Τροποποίηση σχεδίου πόλης,https://eservices.heraklion.gr/e-services/town-planning/tropopoihsi-sxediou-polis.html,"Βεβαίωση περί μη οφειλών (προσκύρωσης, αυθαίρετης κατασκευής, εισφοράς σχεδίου πόλης)"
θεματα_εκθεσεων_αυτοψιας,0.492,0.033,"Θέματα Εκθέσεων Αυτοψίας (Ένσταση, Αποδοχή, Διαγραφή, Αναστολή Προστίμου Δήλωση κατεδάφισης)",https://eservices.heraklion.gr/e-services/town-planning/themata-ekthesewn-autopsias.html,Έκδοση Έκθεσης Αυτοψίας για Νομιμοποίηση
αιτηση_ταφης_σε_οικογενειακο_ταφο,0.498,0.087,Αίτηση για Οικογενειακή Βοήθεια κατ'οίκον,https://eservices.heraklion.gr/e-services/epidomatikh-politikh/aitisi-oikogeniaki-boithia-kat-oikon.html,Χορήγηση Πιστοποιητικού Οικογενειακής Κατάστασης
γενικη_αιτηση_κοκ,0.499,0.056,Γενική αίτηση για θέματα Κ.Ο.Κ,https://eservices.heraklion.gr/e-services/municipal-police/geniki-aitisi-gia-kok.html,Γενική Αίτηση για θέματα Επιδομάτων
δηλωση_γαμου,0.503,0.181,Δήλωση Γάμου (άρθρα 29 & 30 του ν. 344/1976),https://eservices.heraklion.gr/e-services/register/dilosigamou.html,Δήλωση Βλάβης ΔΕΥΑΗ
οικονομικη_ενισχυση_πληγεντεσ,0.510,0.242,Αίτηση χορήγησης οικονομικής ενίσχυσης στους πληγέντες του Δήμου Ηρακλείου για τη φυσική καταστροφή της .../.../20...,https://eservices.heraklion.gr/e-services/epidomatikh-politikh/aitisi-xorigisis-oik-enisx-pligentes-dimou.html,Χορήγηση πιστοποιητικού οικονομικής αδυναμίας
σκιαδιων_περγολα_κοινοχρηστο,0.511,0.263,Αίτηση για κατασκευή σκιαδιών ή πέργολας ή άλλου τέτοιου είδους κατασκευών σε κοινόχρηστο χώρο της Παλαιάς Πόλης,https://eservices.heraklion.gr/e-services/old-city-construct.html,Φύτευση σε κοινόχρηστους χώρους
αιτηση_παραχωρησης_αποκλειστικης_θεσης_σταθμευσης_αμεα,0.515,0.171,Χορήγηση θέσης στάθμευσης για ΑMΕΑ,https://eservices.heraklion.gr/e-services/technical-services/xorigisi-thesis-stathmeusis-AMEA.html,Κατάθεση Ένστασης - Αντίρρησης για παράνομη στάθμευση
μαια,0.522,0.498,Επίσκεψη στη ΜΑΙΑ,https://eservices.heraklion.gr/e-services/iatreio/maia.html,Αίτηση για κατασκευή σκιαδιών ή πέργολας ή άλλου τέτοιου είδους κατασκευών σε κοινόχρηστο χώρο της Παλαιάς Πόλης
αιτηση_χορηγησης_αντιγραφου_ηδη_χορηγηθεισας_βεβαιωσης,0.525,0.074,Χορήγηση Βεβαίωσης Χρήσης Γης,https://eservices.heraklion.gr/e-services/town-planning/certification-use-ground.html,Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Γάμου
ταπ_διορθωση_τετραγωνικων,0.526,0.163,Τροποποίηση τετραγωνικών κοινόχρηστου χώρου,https://eservices.heraklion.gr/e-services/tetragwnika-koinoxrhstou.html,Διόρθωση ηλικίας
αδεσποτα_ζωα,0.528,0.481,Καταγγελία (Ζώα συντροφιάς - αδέσποτα),https://eservices.heraklion.gr/e-services/technical-services/kataggelia-zwa-syntrofias.html,Έκδοση άδειας διοργάνωσης έκθεσης ζώων συντροφιάς
αδεια_πεζοδρομου,0.534,0.001,"Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση ικριωμάτων σε πεζοδρόμια, πεζόδρομους και πλατείες",https://eservices.heraklion.gr/e-services/technical-services/adia-koinox-xorou-ikriomata.html,"Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση περίφραξης σε πεζοδρόμια, πεζόδρομους και πλατείες"
